0212_led.csv
x,y,z,st_x,st_y,st_z,r,p,y,ori,ms,dpth,t
-1.7261,1.36594,0.707649,-1.63743,1.0029,0.650258,-0.229937,0.327597,-1.94902,1.9386,0.00976634,1.34733,23.542,
-1.74713,1.32718,0.710476,-1.65225,0.963436,0.651016,-0.217493,0.321753,-1.91722,1.90876,0.0120516,1.34719,23.5616,
-1.76858,1.29988,0.715821,-1.66449,0.928942,0.651038,-0.224189,0.33383,-1.89129,1.8831,0.0115418,1.34747,23.5781,
-1.77708,1.30178,0.717908,-1.67422,0.899487,0.650595,-0.212538,0.32937,-1.86134,1.855,0.00992489,1.34729,23.5914,
-1.79955,1.25483,0.717109,-1.67422,0.899487,0.650595,-0.214585,0.345416,-1.8378,1.83235,0.0138862,1.34709,23.6087,
-1.80873,1.24727,0.721057,-1.6851,0.864394,0.649933,-0.225402,0.342333,-1.82314,1.81716,0.0100031,1.34666,23.6224,
-1.82422,1.19396,0.720123,-1.69531,0.829254,0.649908,-0.215213,0.374478,-1.81076,1.80713,0.0160165,1.34653,23.6443,
-1.84416,1.19471,0.729034,-1.70524,0.793444,0.649514,-0.149085,0.417172,-1.6153,1.63105,0.00775409,1.34593,23.6546,
-1.86117,1.16236,0.725464,-1.71401,0.758065,0.64932,-0.202015,0.327044,-1.74831,1.74621,0.00899887,1.34576,23.6701,
-1.86568,1.1057,0.724733,-1.722,0.722287,0.64912,-0.221842,0.36987,-1.76401,1.76132,0.013694,1.34545,23.6935,
-1.8843,1.07865,0.726869,-1.72582,0.70262,0.649065,-0.204042,0.360561,-1.71223,1.71271,0.0151765,1.34577,23.7138,
-1.88464,1.03864,0.714883,-1.72582,0.70262,0.649065,-0.220115,0.323977,-1.72813,1.72526,0.00931334,1.34519,23.7259,
-1.90524,1.01442,0.720838,-1.73589,0.650546,0.649055,-0.208454,0.341103,-1.6981,1.69774,0.008955,1.34453,23.7378,
-1.92118,0.983377,0.72402,-1.74128,0.614348,0.64881,-0.20109,0.320307,-1.64808,1.64899,0.0130708,1.34441,23.7584,
-1.92428,0.958848,0.725795,-1.74616,0.577885,0.648572,-0.214501,0.338695,-1.64828,1.64916,0.0114412,1.34462,23.7721,
-1.94985,0.919392,0.728101,-1.75039,0.541495,0.648355,-0.198965,0.301843,-1.57796,1.58037,0.0179415,1.34412,23.7986,
-1.94824,0.880162,0.712703,-1.75357,0.50477,0.648624,-0.204059,0.281787,-1.60813,1.60854,0.0105417,1.34364,23.8121,
-1.94274,0.833436,0.711766,-1.75357,0.50477,0.648624,-0.212071,0.292312,-1.63955,1.63901,0.00927687,1.34322,23.8237,
-1.96765,0.827473,0.724088,-1.75581,0.462829,0.649137,-0.201113,0.324743,-1.56793,1.57185,0.0111988,1.34234,23.8411,
-1.96514,0.737896,0.717303,-1.75696,0.431634,0.64858,-0.204649,0.315866,-1.55685,1.56043,0.0197837,1.34243,23.8683,
-1.96968,0.721652,0.72374,-1.75852,0.394961,0.648029,-0.219204,0.337702,-1.55965,1.56361,0.00995564,1.34246,23.881,
-1.97846,0.708043,0.716704,-1.75916,0.36397,0.647811,-0.206592,0.296806,-1.51274,1.51672,0.0101049,1.34231,23.8945,
-1.99169,0.67237,0.717824,-1.75916,0.36397,0.647811,-0.206579,0.295884,-1.51045,1.51446,0.00881886,1.34224,23.9064,
-2.00033,0.650782,0.72299,-1.75834,0.321555,0.647628,-0.197295,0.336315,-1.47103,1.47981,0.0120635,1.34184,23.926,
-2.00781,0.620507,0.731678,-1.75641,0.284969,0.648441,-0.199503,0.347858,-1.45352,1.46398,0.00877953,1.34223,23.9382,
-2.02479,0.605302,0.737528,-1.75409,0.24849,0.648331,-0.192901,0.365296,-1.39176,1.40748,0.0131588,1.34256,23.9632,
-2.01465,0.529467,0.725143,-1.75117,0.206273,0.647696,-0.205123,0.312817,-1.40834,1.41739,0.0141747,1.34271,23.9797,
-2.02472,0.525606,0.72828,-1.74775,0.17525,0.647256,-0.200352,0.334516,-1.38055,1.39298,0.0113511,1.34278,23.995,
-2.03112,0.471619,0.731356,-1.74356,0.144115,0.647517,-0.201417,0.330914,-1.35363,1.36689,0.0174668,1.34234,24.0167,
-2.00523,0.423686,0.715546,-1.74356,0.144115,0.647517,-0.217384,0.308773,-1.41166,1.41987,0.00875187,1.34278,24.0275,
-2.00873,0.39203,0.724431,-1.73671,0.0967551,0.647755,-0.213692,0.337567,-1.38416,1.39614,0.0092001,1.34326,24.0392,
-2.02736,0.355425,0.729081,-1.73184,0.0656235,0.647949,-0.0773039,0.292187,-1.08504,1.1113,0.0125499,1.34398,24.0611,
-2.02881,0.345457,0.729398,-1.72408,0.024211,0.647748,-0.159043,0.384651,-1.19803,1.23038,0.0097084,1.34399,24.074,
-2.02371,0.303516,0.723424,-1.72408,0.024211,0.647748,-0.200601,0.329386,-1.29754,1.3134,0.00936413,1.34403,24.0891,
-2.00545,0.244475,0.716233,-1.70915,-0.0429211,0.64846,-0.215759,0.308714,-1.30275,1.31584,0.0164504,1.34542,24.1164,
